,Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Start time,End time,Day,Building
1428,KIN,249,35148,Sport & Modern Society,0,36,0,0,2,0,0,1,0,0,1,0,1,0,3.73,"Adamson, Matthew D",660.0,710.0,MW,Bevier Hall
1430,KIN,257,35170,"Coordination, Control & Skill",3,16,12,5,11,5,5,0,1,0,0,0,0,0,3.39,"Lopez-Ortiz, Citlali",780.0,830.0,MW,Huff Hall
1431,KIN,259,64873,Motor Development and Control,2,11,17,5,9,4,4,2,0,0,0,0,1,0,3.31,"Sosnoff, Jacob J",840.0,890.0,MW,Bevier Hall
1432,KIN,262,35176,"Motor Develop, Growth & Form",1,7,8,8,5,1,4,3,3,1,1,0,1,0,2.98,"Carlson, Kristin N",600.0,650.0,TR,Burrill Hall
1433,KIN,268,35191,Children's Movement,0,15,12,1,1,0,0,0,1,0,0,0,0,0,3.73,"McLoughlin, Gabriella M",900.0,1010.0,T,Lincoln Hall
1434,KIN,340,57542,Soc & Psych of Phys Activity,0,32,26,26,25,7,11,4,3,0,1,0,0,0,3.28,"Petruzzello, Steven J",780.0,830.0,TR,Huff Hall
1435,KIN,352,35159,Bioenergetics of Movement,0,54,0,0,34,0,0,11,0,0,0,0,1,0,3.4,"Burd, Nicholas A",660.0,710.0,MW,Huff Hall
1436,KIN,355,35163,Biomechanics of Human Movement,10,24,15,8,3,7,2,1,1,1,0,0,0,0,3.54,"Rice, Ian M",1440.0,1490.0,MW,Huff Hall
1437,KIN,365,61899,Civic Engagement in Wellness,3,13,4,1,0,0,0,0,0,0,0,0,0,0,3.91,"Graber, Kim C",930.0,1010.0,TR,Huff Hall
1438,KIN,369,59230,Coaching Strategies,15,18,12,6,4,4,2,2,0,0,1,0,0,0,3.57,"Crull, Gary S",1080.0,1250.0,W,Huff Hall
1440,KIN,443,44569,Psychophysiology in Ex & Sport,0,63,1,4,4,1,2,0,0,0,0,0,0,0,3.85,"Petruzzello, Steven J",570.0,650.0,TR,Lincoln Hall
1441,KIN,453,64958,Nutrition for Performance,9,22,0,2,6,0,0,2,0,0,1,0,0,0,3.67,"Burd, Nicholas A",510.0,590.0,TR,Freer Hall
1442,KIN,459,35250,Physical Activity & Aging,0,14,0,1,5,0,0,2,0,0,1,0,0,0,3.44,"Wilund, Kenneth",840.0,920.0,TR,Bevier Hall
1443,KOR,202,35283,Elementary Korean II,10,4,6,1,1,0,0,0,0,0,0,0,0,0,3.83,"Song, Jinsub",600.0,650.0,MT,Foreign Languages Building
1444,LA,221,64179,History of the Prison,1,11,4,4,19,3,2,10,2,0,6,1,3,0,2.66,"Ginsburg, Rebecca",660.0,1460.0,MW,Burrill Hall
1445,LA,222,64180,Islamic Gardens & Architecture,1,8,6,8,11,6,7,7,4,2,1,1,6,0,2.57,"Ruggles, D F",660.0,1460.0,TR,National Soybean Res Ctr
1446,LA,241,35296,Landform Design & Construction,2,1,4,3,4,2,0,2,1,1,1,0,0,0,2.95,"Emmerling-Dinov, Carol A",1470.0,920.0,TR,Mumford Hall
1447,LA,314,64527,History of World Landscapes,1,2,3,3,6,4,4,3,1,1,0,1,1,1,2.69,"Deming, Margaret E",930.0,1010.0,T,Lincoln Hall
1449,LAS,102,65913,Transfer Advantage,7,8,1,1,3,0,0,0,0,0,0,0,1,0,3.62,"Soranso, Murillo S",840.0,890.0,T,Armory
1450,LAS,399,66398,Leadership & Prof Development,41,24,4,2,3,3,1,1,0,0,0,0,1,0,3.78,"Thoss, Corey",1020.0,1130.0,R,Gregory Hall
1451,LAS,399,66401,Leadership & Prof Development,36,33,13,3,3,1,0,0,0,0,1,0,0,0,3.85,"Soranso, Murillo S",1020.0,1070.0,R,Animal Sciences Laboratory
1452,LAW,199,44850,Poverty & the Law,6,6,7,5,9,3,1,1,1,1,0,0,0,0,3.32,"Bell, George J",930.0,1005.0,TR,D Law Building
1453,LAW,302,65462,Transitional Justice,0,1,6,4,7,4,0,0,0,0,1,0,1,0,3.0,"Murphy, Colleen",840.0,915.0,TR,H Law Building
1496,LER,523,55476,Org Fundamentals for HR,0,16,10,0,5,0,0,1,0,0,0,0,0,0,3.68,"Benton, Richard",480.0,650.0,W,Inst Labor &  Industrial Rel
1497,LER,542,52774,Collective Bargaining,0,19,12,1,4,1,0,0,0,0,0,0,0,0,3.73,"Lamare, James R",840.0,1010.0,R,Inst Labor &  Industrial Rel
1498,LER,545,52771,Economics of Human Resources,0,17,7,11,3,2,2,0,0,0,0,0,0,0,3.56,"Forsythe, Elizabeth C",660.0,830.0,R,Inst Labor &  Industrial Rel
1499,LER,561,53168,Compensation Systems,0,42,1,1,0,0,0,0,0,0,0,0,0,0,3.98,"Martocchio, Joseph J",660.0,830.0,W,Inst Labor &  Industrial Rel
1500,LER,565,52770,HR Management and Strategy,5,24,3,1,3,1,2,0,0,0,0,0,0,0,3.76,"Won, Shinjae",840.0,1010.0,T,ARR Inst Labor &  Industrial Rel
1501,LER,566,53169,International HR Management,0,19,20,3,1,0,0,0,0,0,0,0,0,0,3.78,"Chen, Ying",660.0,830.0,M,Inst Labor &  Industrial Rel
1502,LER,567,53177,Negotiation in HR Decisions,0,17,8,0,2,0,0,0,0,0,0,0,0,0,3.83,"Cardador, Maria T",660.0,830.0,W,Inst Labor &  Industrial Rel
1503,LER,568,53171,Firm Performance and HR,0,2,6,4,7,6,0,0,0,0,0,0,1,0,3.09,"Weaver, Andrew",840.0,1010.0,W,Inst Labor &  Industrial Rel
