,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
63,ROOFTOP,"International Studies Building, 910 S 5th St, Champaign, IL 61820, USA",ChIJhxl2SznXDIgR33KkJIJxEO4,"InternationalStudies Building,Urbana,United States",40.1072128,-88.2316263,1,61820,OK,premise
64,ROOFTOP,"1304 W Green St, Urbana, IL 61801, USA",ChIJ-1qO-j_XDIgRRyMBf46-EXM,"EngineeringBldg,Urbana,United States",40.1108597,-88.2261108,1,61801,OK,"establishment,point_of_interest"
65,ROOFTOP,"Chemistry Annex, Urbana, IL 61801, USA",ChIJYTcFjhXXDIgRcJTtu1FV_6Q," ChemistryAnnex,Urbana,United States",40.1077762,-88.2260671,1,61801,OK,subpremise
66,ROOFTOP,"Gregory Hall, 810 S Wright St, Urbana, IL 61801, USA",ChIJCTSK3D3XDIgRw4G2mDVaHLM," Gregory Hall,Urbana,United States",40.1056086,-88.2280989,1,61801,OK,premise
67,ROOFTOP,"Turner Hall, 1102 S Goodwin Ave, Urbana, IL 61801, USA",ChIJvYFuCBfXDIgRBUcBM54zvdc,"Turner Hall,Urbana,United States",40.10283039999999,-88.22428450000001,1,61801,OK,premise
68,ROOFTOP,"607 S Mathews Ave, Urbana, IL 61801, USA",ChIJ-b_t9hXXDIgR2SIIkBGBBro,"Davenport Hall,Urbana,United States",40.1073129,-88.2261789,1,61801,OK,"establishment,point_of_interest,university"
69,ROOFTOP,"Mechanical Engineering Building, 1206 W Green St, Urbana, IL 61801, USA",ChIJWSwVMhXXDIgRuPw0Wxknubw,"MechanicalEngineeringBldg,Urbana,United States",40.1111367,-88.2250555,1,61801,OK,premise
70,ROOFTOP,"1102 S Goodwin Ave, Urbana, IL 61801, USA",ChIJQ_mSDhfXDIgRpWP8_P4Vf1g,"Agricultural,Urbana,United States",40.1026951,-88.22413089999999,1,61801,OK,"establishment,point_of_interest"
71,ROOFTOP,"Nathan Newmark Civil Engineering Laboratory, 205 N Mathews Ave, Urbana, IL 61801, USA",ChIJIxUx0kHXDIgRHu4iEHAsg84,"Newmark CivilEngineeringBldg,Urbana,United States",40.1139618,-88.22656479999999,1,61801,OK,"establishment,point_of_interest"
72,APPROXIMATE,"Urbana, IL, USA",ChIJj0KEhJbXDIgRQWUMOa3LjfQ,"Favila,Urbana,United States",40.1105875,-88.2072697,1,,OK,"locality,political"
73,ROOFTOP,"Dance Studio, 905 W Nevada St, Urbana, IL 61801, USA",ChIJzWmzZBHXDIgRUAy1KScNbMk," 905W Nevada,Urbana,United States",40.1056366,-88.2199164,1,61801,OK,premise
74,ROOFTOP,"Gregory Hall, 810 S Wright St, Urbana, IL 61801, USA",ChIJCTSK3D3XDIgRw4G2mDVaHLM,"Gregory Hall,Urbana,United States",40.1056086,-88.2280989,1,61801,OK,premise
75,ROOFTOP,"204 E Peabody Dr, Champaign, IL 61820, USA",ChIJp4fwkjrXDIgRFyiSPcB6zmQ," Weston Hall,Urbana,United States",40.1030079,-88.23532159999999,1,61820,OK,"establishment,point_of_interest,university"
76,ROOFTOP,"Nevada Building, 1203 1/2 W Nevada St, Urbana, IL 61801, USA",ChIJpcK4fBbXDIgRd4cfOkMKOuE," 12031/2 W Nevada,Urbana,United States",40.1055378,-88.224451,1,61801,OK,premise
77,GEOMETRIC_CENTER,"Champaign, IL, USA",ChIJ6VUmqSTXDIgR-iZoBCUFPKU," Illini Center,Urbana,United States",40.1019523,-88.2271615,1,,OK,"establishment,point_of_interest,university"
78,GEOMETRIC_CENTER,"Champaign, IL, USA",ChIJ6VUmqSTXDIgR-iZoBCUFPKU," ZhejiangUniversity,Urbana,United States",40.1019523,-88.2271615,1,,OK,"establishment,point_of_interest,university"
79,ROOFTOP,"Psychology Building, 603 E Daniel St, Champaign, IL 61820, USA",ChIJjeSv7D7XDIgRci6JvA_GrIg,"PsychologyBuilding,Urbana,United States",40.107486,-88.2299551,1,61820,OK,premise
80,ROOFTOP,"505 S Mathews Ave, Urbana, IL 61801, USA",ChIJd8U1gxXXDIgREfaRySm4rJc," NoyesLaboratory,Urbana,United States",40.1084247,-88.2261142,1,61801,OK,"establishment,point_of_interest"
